Id,Like Count,Comment Count,retweet Count,View count,countOfWords,countOfPositive,countOfNegative,Art,Health,Politics,Science,Sport,C_Text__mysteries,C_Text__replying,T_Text__replying,T_Text__manchester,C_Text__manchester,T_Text__believe,T_Text__mark
153,1,1,0,8,31,2,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,12,1,5,1249,11,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,102,491,538,248461,2,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,2,0,1,88,31,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,14,122,4,246,24,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,12,2,2,771,8,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,178,9,0,6531,24,3,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,80,1,4,1149,20,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,50900,389,10500,3900000,12,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,78900,993,14100,5900,15,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,4039,8,835,124000,6,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,7858,89,1247,724800,24,1,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,19100,41,1757,452600,10,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,813,28,159,16100,10,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,14700,62,1380,467700,21,2,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
